age_group,LINE,Facebook,YouTube,Instagram,TikTok,小紅書,WeChat,Threads,X(前身為Twitter),WhatsApp,Telegram,Pinterest,LinkedIn,Tumblr,SnapChat
15–24歲,0.9451,0.939,0.8173,0.8589,0.4571,0.3507,0.1813,0.374,0.2286,0.1054,0.0967,0.0972,0.0418,0.0122,0.0201
25–34歲,0.999,0.9174,0.8568,0.8267,0.3781,0.306,0.194,0.319,0.1856,0.0876,0.1068,0.0264,0.0393,0.0291,0.0
35–44歲,0.9917,0.914,0.7197,0.6349,0.2647,0.1995,0.1661,0.1491,0.0894,0.1062,0.0546,0.0323,0.0372,0.0175,0.0192
45–54歲,0.9768,0.8731,0.6953,0.3974,0.2298,0.1279,0.1446,0.064,0.0469,0.0689,0.0294,0.0061,0.0208,0.0061,0.0108
55–64歲,0.9791,0.8281,0.5943,0.226,0.1329,0.0965,0.1247,0.0223,0.0236,0.0472,0.0146,0.0,0.0,0.0,0.0
65歲以上,0.9872,0.5299,0.4999,0.1041,0.0594,0.0456,0.0615,0.0159,0.0106,0.0302,0.0,0.0,0.0,0.0,0.0041
